time(YYYY-MM-DD-HH);1-hour mean wind speed at 90m(m/s);Significant wave height(m);Zero-up-crossing period(s)
2014-02-25-12;11.7125;1.1606;3.5525
2014-02-25-13;11.4277;1.1439;3.5601
2014-02-25-14;10.9461;1.1382;3.6068
2014-02-25-15;10.5788;1.1557;3.6778
2014-02-25-16;10.3429;1.2087;3.8332
2014-02-25-17;10.4295;1.3019;4.0270
2014-02-25-18;9.5239;1.3611;4.2608
2014-02-25-19;9.0276;1.3520;4.3762
2014-02-25-20;9.2840;1.3047;4.2968
2014-02-25-21;9.8653;1.2585;4.0986
2014-02-25-22;10.0679;1.2250;3.9461
2014-02-25-23;9.4977;1.1803;3.9119
2014-02-26-00;9.4007;1.1392;3.8506
2014-02-26-01;9.6872;1.1201;3.7658
2014-02-26-02;9.1216;1.0977;3.7714
2014-02-26-03;8.5079;1.0608;3.8018
2014-02-26-04;7.5326;1.0081;3.8398
2014-02-26-05;6.6725;0.9466;3.8725
2014-02-26-06;7.4804;0.9031;3.6991
2014-02-26-07;8.2188;0.8850;3.4544
2014-02-26-08;9.1348;0.8908;3.2579
2014-02-26-09;9.3607;0.8967;3.2085
2014-02-26-10;9.1370;0.8859;3.2336
2014-02-26-11;8.5278;0.8574;3.2641
2014-02-26-12;7.1819;0.8039;3.3305
2014-02-26-13;6.1083;0.7454;3.3832
2014-02-26-14;5.7177;0.6993;3.3844
2014-02-26-15;5.6707;0.6680;3.3358
2014-02-26-16;5.7382;0.6503;3.2683
2014-02-26-17;5.8179;0.6451;3.2240
2014-02-26-18;6.1862;0.6546;3.1878
2014-02-26-19;6.9310;0.6816;3.1284
2014-02-26-20;7.7083;0.7250;3.1073
2014-02-26-21;8.3575;0.7819;3.1302
2014-02-26-22;9.1769;0.8542;3.1841
2014-02-26-23;9.9646;0.9414;3.2717
2014-02-27-00;10.5443;1.0303;3.3671
2014-02-27-01;11.1494;1.1111;3.4676
2014-02-27-02;11.7264;1.1817;3.5403
2014-02-27-03;11.8459;1.2258;3.6153
2014-02-27-04;11.5762;1.2325;3.6696
2014-02-27-05;11.7286;1.2267;3.6580
2014-02-27-06;12.0555;1.2291;3.6182
2014-02-27-07;12.4129;1.2412;3.5856
2014-02-27-08;12.8731;1.2660;3.5654
2014-02-27-09;13.1925;1.2959;3.5898
2014-02-27-10;13.4189;1.3229;3.6235
2014-02-27-11;13.4237;1.3399;3.6561
2014-02-27-12;13.6961;1.3579;3.6625
2014-02-27-13;14.1279;1.4002;3.6748
2014-02-27-14;14.4900;1.4663;3.7314
2014-02-27-15;14.6441;1.5477;3.8530
2014-02-27-16;15.4290;1.6707;3.9784
2014-02-27-17;16.5378;1.8425;4.0868
2014-02-27-18;16.4879;1.9492;4.2597
2014-02-27-19;16.2832;2.0013;4.3593
2014-02-27-20;14.9718;1.9612;4.4614
2014-02-27-21;12.9575;1.7976;4.4948
2014-02-27-22;10.7861;1.5580;4.4108
2014-02-27-23;9.3996;1.3210;4.2273
2014-02-28-00;8.9876;1.1361;3.9502
2014-02-28-01;9.5252;1.0222;3.6326
2014-02-28-02;9.7220;0.9591;3.4137
2014-02-28-03;9.4886;0.9089;3.3145
2014-02-28-04;9.5729;0.8838;3.2760
2014-02-28-05;9.9116;0.9142;3.3002
2014-02-28-06;9.3546;0.9457;3.4292
2014-02-28-07;8.1464;0.9149;3.5117
2014-02-28-08;7.0503;0.8495;3.5551
2014-02-28-09;5.7050;0.7844;3.6294
2014-02-28-10;4.2146;0.7299;3.7861
2014-02-28-11;3.4742;0.6894;3.9096
2014-02-28-12;2.9734;0.6583;3.9810
2014-02-28-13;2.4815;0.6332;4.0265
2014-02-28-14;2.3284;0.6130;4.0592
2014-02-28-15;2.2600;0.5988;4.0968
2014-02-28-16;2.3007;0.5920;4.1528
2014-02-28-17;2.6891;0.5922;4.2258
2014-02-28-18;3.2063;0.5964;4.2371
2014-02-28-19;3.5972;0.6014;4.0649
2014-02-28-20;3.7077;0.6026;4.0967
2014-02-28-21;3.3924;0.5991;4.0988
2014-02-28-22;3.5886;0.5930;4.0079
2014-02-28-23;3.9883;0.5871;3.8110
2014-03-01-00;4.5122;0.5836;3.5490
2014-03-01-01;4.6799;0.5807;3.3903
2014-03-01-02;4.9070;0.5773;3.2789
2014-03-01-03;4.7430;0.5698;3.2551
2014-03-01-04;4.5438;0.5579;3.2828
2014-03-01-05;4.4515;0.5457;3.2915
2014-03-01-06;4.9333;0.5397;3.1750
2014-03-01-07;5.8627;0.5501;2.9257
2014-03-01-08;6.4999;0.5731;2.7719
2014-03-01-09;6.4803;0.5858;2.7660
2014-03-01-10;6.6568;0.5907;2.7567
2014-03-01-11;6.9887;0.5990;2.7554
2014-03-01-12;7.2317;0.6091;2.7309
2014-03-01-13;7.5325;0.6211;2.7110
2014-03-01-14;7.6382;0.6319;2.7288
2014-03-01-15;7.5452;0.6361;2.7706
2014-03-01-16;7.1559;0.6275;2.8052
2014-03-01-17;7.2316;0.6201;2.7928
2014-03-01-18;7.2663;0.6184;2.7765
2014-03-01-19;7.6082;0.6270;2.7510
2014-03-01-20;8.3387;0.6558;2.7198
2014-03-01-21;9.2440;0.7096;2.7245
2014-03-01-22;9.7382;0.7678;2.8252
2014-03-01-23;10.0200;0.8180;2.9141
2014-03-02-00;9.8132;0.8450;3.0311
2014-03-02-01;9.2204;0.8448;3.1129
2014-03-02-02;8.7337;0.8306;3.1644
2014-03-02-03;8.2281;0.8099;3.1777
2014-03-02-04;7.5456;0.7802;3.2045
2014-03-02-05;6.7066;0.7412;3.2421
2014-03-02-06;6.7153;0.7065;3.1929
2014-03-02-07;7.4024;0.6912;3.0068
2014-03-02-08;8.6369;0.7140;2.8342
2014-03-02-09;10.2010;0.7938;2.8277
2014-03-02-10;11.5922;0.9322;3.0210
2014-03-02-11;11.2642;1.0167;3.2528
2014-03-02-12;10.0578;0.9901;3.3530
2014-03-02-13;9.5124;0.9267;3.3210
2014-03-02-14;9.5730;0.8931;3.2538
2014-03-02-15;9.8230;0.8963;3.2274
2014-03-02-16;9.9190;0.9082;3.2197
2014-03-02-17;10.0632;0.9104;3.2086
2014-03-02-18;11.4590;0.9505;3.1159
2014-03-02-19;13.5754;1.0839;3.1032
2014-03-02-20;14.5754;1.2369;3.2922
2014-03-02-21;14.5382;1.3234;3.4769
2014-03-02-22;14.8025;1.3778;3.5504
2014-03-02-23;14.3539;1.4034;3.6295
2014-03-03-00;15.0972;1.4552;3.6581
2014-03-03-01;15.7865;1.5241;3.7074
2014-03-03-02;16.1500;1.5833;3.7547
2014-03-03-03;16.4258;1.6471;3.8160
2014-03-03-04;16.4800;1.7107;3.8976
2014-03-03-05;16.6553;1.7643;4.0070
2014-03-03-06;17.2902;1.8538;4.0715
2014-03-03-07;17.9588;1.9852;4.1568
2014-03-03-08;18.0674;2.0938;4.3073
2014-03-03-09;17.6584;2.1465;4.4222
2014-03-03-10;16.6293;2.0992;4.4755
2014-03-03-11;15.5006;1.9570;4.4112
2014-03-03-12;12.9012;1.7248;4.3559
2014-03-03-13;12.5817;1.5286;4.1649
2014-03-03-14;12.0813;1.3902;3.9605
2014-03-03-15;12.2945;1.2950;3.7746
2014-03-03-16;9.8585;1.1538;3.7347
2014-03-03-17;8.5741;0.9866;3.6160
2014-03-03-18;8.9167;0.8657;3.3690
2014-03-03-19;10.0481;0.8174;3.0669
2014-03-03-20;10.4581;0.8177;2.9617
2014-03-03-21;9.3810;0.7868;2.9965
2014-03-03-22;7.9701;0.7159;3.0030
2014-03-03-23;6.9712;0.6385;2.9384
2014-03-04-00;6.7034;0.5771;2.8153
2014-03-04-01;6.5830;0.5330;2.6928
2014-03-04-02;6.1004;0.4944;2.6076
2014-03-04-03;5.4746;0.4561;2.5665
2014-03-04-04;5.3583;0.4261;2.4939
2014-03-04-05;5.7830;0.4128;2.3835
2014-03-04-06;6.2031;0.4155;2.3031
2014-03-04-07;6.3687;0.4242;2.2858
2014-03-04-08;6.0413;0.4246;2.3175
2014-03-04-09;5.4680;0.4134;2.3645
2014-03-04-10;4.7859;0.3960;2.4219
2014-03-04-11;4.1227;0.3775;2.4944
2014-03-04-12;3.7079;0.3610;2.5655
2014-03-04-13;3.5331;0.3474;2.6166
2014-03-04-14;3.5249;0.3363;2.6384
2014-03-04-15;3.4762;0.3272;2.6474
2014-03-04-16;3.3660;0.3193;2.6619
2014-03-04-17;3.2077;0.3121;2.6948
2014-03-04-18;3.0084;0.3055;2.7504
2014-03-04-19;2.7907;0.2994;2.8221
2014-03-04-20;2.4634;0.2937;2.9145
2014-03-04-21;2.0196;0.2886;2.9991
2014-03-04-22;1.6510;0.2843;3.0318
2014-03-04-23;1.6213;0.2806;3.0412
2014-03-05-00;1.7012;0.2772;3.0384
2014-03-05-01;1.7902;0.2739;3.0262
2014-03-05-02;2.0075;0.2705;3.0069
2014-03-05-03;2.2500;0.2671;2.9780
2014-03-05-04;2.1359;0.2636;2.9490
2014-03-05-05;2.0463;0.2602;2.9180
2014-03-05-06;2.0429;0.2568;2.8861
2014-03-05-07;1.9468;0.2535;2.8546
2014-03-05-08;1.8306;0.2503;2.8243
2014-03-05-09;1.8585;0.2473;2.7953
2014-03-05-10;1.6680;0.2444;2.7676
2014-03-05-11;1.7216;0.2417;2.7410
2014-03-05-12;1.9900;0.2390;2.7145
2014-03-05-13;2.5420;0.2368;2.6613
2014-03-05-14;3.0935;0.2372;2.4977
2014-03-05-15;3.0687;0.2417;2.3953
2014-03-05-16;3.1727;0.2512;2.3435
2014-03-05-17;3.0869;0.2661;2.3823
2014-03-05-18;2.9733;0.2848;2.5004
2014-03-05-19;2.8714;0.3068;2.6591
2014-03-05-20;2.5808;0.3308;2.8542
2014-03-05-21;2.5024;0.3560;3.0394
2014-03-05-22;2.6987;0.3807;3.1861
2014-03-05-23;3.3586;0.4041;3.2151
2014-03-06-00;4.1658;0.4273;3.1332
2014-03-06-01;4.9743;0.4538;2.9253
2014-03-06-02;5.8926;0.4893;2.7074
2014-03-06-03;6.5448;0.5290;2.6532
2014-03-06-04;7.0468;0.5647;2.6611
2014-03-06-05;7.7551;0.6000;2.6514
2014-03-06-06;8.6711;0.6433;2.6569
2014-03-06-07;9.3294;0.6903;2.7090
2014-03-06-08;9.7291;0.7318;2.7863
2014-03-06-09;9.9276;0.7642;2.8551
2014-03-06-10;9.9737;0.7875;2.9123
2014-03-06-11;10.1030;0.8096;2.9762
2014-03-06-12;9.8890;0.8266;3.0387
2014-03-06-13;9.7504;0.8409;3.0990
2014-03-06-14;9.6553;0.8594;3.1587
2014-03-06-15;9.2664;0.8761;3.2467
2014-03-06-16;8.3711;0.8805;3.3789
2014-03-06-17;7.7311;0.8802;3.5061
2014-03-06-18;7.7518;0.8868;3.5617
2014-03-06-19;8.8637;0.9131;3.4645
2014-03-06-20;10.2967;0.9697;3.3195
2014-03-06-21;11.0370;1.0334;3.2911
2014-03-06-22;11.7284;1.0917;3.3364
2014-03-06-23;12.5027;1.1582;3.3762
2014-03-07-00;13.2079;1.2276;3.4379
2014-03-07-01;13.7576;1.2984;3.5180
2014-03-07-02;14.0408;1.3615;3.6005
2014-03-07-03;14.2688;1.4217;3.6704
2014-03-07-04;14.4414;1.4748;3.7626
2014-03-07-05;14.6813;1.5295;3.8320
2014-03-07-06;15.1016;1.5973;3.8892
2014-03-07-07;15.7159;1.6888;3.9480
2014-03-07-08;16.3381;1.8019;4.0301
2014-03-07-09;16.8525;1.9141;4.1616
2014-03-07-10;17.4391;2.0314;4.2587
2014-03-07-11;17.8027;2.1537;4.3716
2014-03-07-12;17.0084;2.2139;4.5352
2014-03-07-13;17.7711;2.3047;4.6191
2014-03-07-14;17.5594;2.4059;4.7496
2014-03-07-15;16.6880;2.4447;4.9313
2014-03-07-16;15.9384;2.4348;5.0669
2014-03-07-17;14.3573;2.3521;5.2186
2014-03-07-18;12.2352;2.1261;5.2736
2014-03-07-19;13.3195;1.8756;5.0155
2014-03-07-20;13.9143;1.7777;4.4996
2014-03-07-21;12.0343;1.7189;4.4568
2014-03-07-22;11.5459;1.6697;4.5413
2014-03-07-23;10.5322;1.6459;4.6515
2014-03-08-00;8.7651;1.6517;4.9279
2014-03-08-01;6.5826;1.7304;5.5159
2014-03-08-02;5.1287;1.8435;6.0473
2014-03-08-03;3.2502;1.9162;6.4058
2014-03-08-04;1.9412;1.9354;6.6170
2014-03-08-05;0.5902;1.9194;6.7406
2014-03-08-06;1.4291;1.8850;6.8159
2014-03-08-07;2.5682;1.8438;6.8727
2014-03-08-08;3.6562;1.8117;6.9484
2014-03-08-09;5.0293;1.7968;7.0654
2014-03-08-10;6.1072;1.7964;7.2128
2014-03-08-11;6.6348;1.7978;7.3356
2014-03-08-12;7.2636;1.7902;7.2615
2014-03-08-13;7.7772;1.7743;6.6149
2014-03-08-14;7.5909;1.7493;6.1519
2014-03-08-15;7.3370;1.7037;6.0083
2014-03-08-16;7.7756;1.6464;5.7882
2014-03-08-17;8.8664;1.5977;5.2309
2014-03-08-18;10.0432;1.5695;4.6652
2014-03-08-19;11.0001;1.5586;4.3189
2014-03-08-20;11.5707;1.5472;4.1544
2014-03-08-21;11.7816;1.5068;4.0744
2014-03-08-22;11.6303;1.4399;3.9817
2014-03-08-23;11.3276;1.3600;3.8847
2014-03-09-00;11.2934;1.2901;3.7681
2014-03-09-01;11.5634;1.2471;3.6525
2014-03-09-02;11.7202;1.2206;3.5788
2014-03-09-03;11.6710;1.1935;3.5386
2014-03-09-04;11.6606;1.1664;3.5011
2014-03-09-05;11.5912;1.1395;3.4667
2014-03-09-06;11.6151;1.1165;3.4290
2014-03-09-07;11.7543;1.1032;3.3925
2014-03-09-08;11.8822;1.0986;3.3685
2014-03-09-09;12.1480;1.1074;3.3560
2014-03-09-10;11.9931;1.1086;3.4084
2014-03-09-11;10.5951;1.0543;3.4460
2014-03-09-12;9.0272;0.9467;3.4071
2014-03-09-13;7.6041;0.8306;3.3424
2014-03-09-14;7.3435;0.7447;3.2156
2014-03-09-15;7.2809;0.6937;3.0963
2014-03-09-16;7.1529;0.6677;3.0181
2014-03-09-17;7.1111;0.6603;2.9991
2014-03-09-18;7.0434;0.6668;3.0155
2014-03-09-19;6.8462;0.6815;3.0503
2014-03-09-20;6.5577;0.6986;3.1419
2014-03-09-21;6.2761;0.7141;3.2511
2014-03-09-22;6.1602;0.7256;3.3086
2014-03-09-23;6.1344;0.7305;3.3476
2014-03-10-00;6.1101;0.7285;3.3558
2014-03-10-01;5.7278;0.7170;3.3831
2014-03-10-02;5.3815;0.6983;3.4070
2014-03-10-03;5.5078;0.6802;3.3699
2014-03-10-04;5.5377;0.6650;3.3078
2014-03-10-05;5.1783;0.6482;3.3094
2014-03-10-06;4.7146;0.6293;3.3679
2014-03-10-07;4.1804;0.6107;3.4700
2014-03-10-08;3.8086;0.5949;3.5891
2014-03-10-09;3.8060;0.5842;3.6697
2014-03-10-10;3.8441;0.5787;3.7221
2014-03-10-11;4.2821;0.5788;3.6966
2014-03-10-12;5.3014;0.5896;3.4379
2014-03-10-13;7.0480;0.6330;2.9177
2014-03-10-14;9.7093;0.7503;2.6552
2014-03-10-15;11.6161;0.9449;2.9124
2014-03-10-16;12.1564;1.1413;3.3163
2014-03-10-17;12.9022;1.3079;3.6206
2014-03-10-18;13.5019;1.4600;3.8620
2014-03-10-19;13.1210;1.5440;4.0439
2014-03-10-20;12.3302;1.5455;4.1644
2014-03-10-21;11.6568;1.5045;4.2133
2014-03-10-22;10.8236;1.4351;4.2180
2014-03-10-23;10.2063;1.3532;4.1832
2014-03-11-00;10.1705;1.2869;4.0695
2014-03-11-01;10.2554;1.2473;3.9694
2014-03-11-02;10.5258;1.2382;3.9001
2014-03-11-03;10.6351;1.2503;3.8908
2014-03-11-04;10.1839;1.2590;3.9582
2014-03-11-05;9.4932;1.2570;4.0478
2014-03-11-06;8.9245;1.2532;4.1658
2014-03-11-07;8.5740;1.2544;4.2756
2014-03-11-08;8.3991;1.2589;4.3587
2014-03-11-09;8.2697;1.2619;4.3880
2014-03-11-10;7.9695;1.2566;4.4394
2014-03-11-11;7.4288;1.2398;4.5059
2014-03-11-12;6.8701;1.2145;4.6000
2014-03-11-13;6.5545;1.1874;4.6736
2014-03-11-14;6.4755;1.1623;4.6999
2014-03-11-15;6.5957;1.1409;4.6683
2014-03-11-16;7.2470;1.1282;4.5081
2014-03-11-17;8.0019;1.1297;4.2141
2014-03-11-18;8.4476;1.1396;4.0179
2014-03-11-19;8.5742;1.1467;3.9470
2014-03-11-20;8.4491;1.1450;3.9844
2014-03-11-21;8.5207;1.1426;3.9661
2014-03-11-22;8.7148;1.1454;3.9234
2014-03-11-23;8.2485;1.1384;3.9718
2014-03-12-00;7.4706;1.1151;4.0925
2014-03-12-01;6.7397;1.0850;4.2210
2014-03-12-02;6.2222;1.0554;4.3334
2014-03-12-03;6.0519;1.0299;4.3773
2014-03-12-04;6.2476;1.0103;4.3364
2014-03-12-05;6.5295;0.9964;4.2217
2014-03-12-06;6.6688;0.9853;4.1014
2014-03-12-07;6.5789;0.9716;4.0234
2014-03-12-08;6.4036;0.9535;4.0066
2014-03-12-09;6.2030;0.9322;4.0039
2014-03-12-10;5.8937;0.9079;3.9974
2014-03-12-11;5.5536;0.8810;4.0255
2014-03-12-12;5.5051;0.8543;4.0380
2014-03-12-13;5.9067;0.8331;3.9099
2014-03-12-14;6.6551;0.8246;3.6483
2014-03-12-15;7.1697;0.8278;3.4344
2014-03-12-16;7.0282;0.8235;3.4283
2014-03-12-17;6.6983;0.8050;3.4463
2014-03-12-18;6.2761;0.7753;3.4713
2014-03-12-19;5.5755;0.7374;3.4996
2014-03-12-20;4.9688;0.6971;3.5351
2014-03-12-21;4.8655;0.6608;3.5099
2014-03-12-22;4.2678;0.6266;3.5185
2014-03-12-23;3.6550;0.5936;3.5738
2014-03-13-00;3.5661;0.5637;3.5878
2014-03-13-01;3.5235;0.5370;3.5569
2014-03-13-02;3.2108;0.5124;3.5460
2014-03-13-03;2.9524;0.4893;3.5511
2014-03-13-04;2.7801;0.4680;3.5507
2014-03-13-05;2.4728;0.4481;3.5592
2014-03-13-06;2.3358;0.4296;3.5552
2014-03-13-07;2.2724;0.4123;3.5334
2014-03-13-08;2.3285;0.3963;3.4967
2014-03-13-09;2.2556;0.3812;3.4582
2014-03-13-10;2.4665;0.3673;3.4032
2014-03-13-11;3.0970;0.3558;3.1808
2014-03-13-12;3.8522;0.3498;2.8820
2014-03-13-13;4.4205;0.3503;2.6283
2014-03-13-14;4.6484;0.3580;2.3745
2014-03-13-15;4.7347;0.3631;2.3230
2014-03-13-16;4.7590;0.3648;2.3477
2014-03-13-17;4.9130;0.3672;2.3381
2014-03-13-18;5.0508;0.3710;2.3292
2014-03-13-19;5.3886;0.3788;2.3015
2014-03-13-20;5.3260;0.3855;2.3102
2014-03-13-21;4.7412;0.3821;2.3762
2014-03-13-22;5.4481;0.3860;2.3345
2014-03-13-23;5.6710;0.3974;2.3119
2014-03-14-00;5.7300;0.4078;2.3314
2014-03-14-01;6.1463;0.4241;2.3376
2014-03-14-02;6.3738;0.4444;2.3683
2014-03-14-03;6.4643;0.4641;2.4364
2014-03-14-04;6.3786;0.4811;2.5091
2014-03-14-05;6.2627;0.4959;2.5863
2014-03-14-06;5.8480;0.5065;2.6913
2014-03-14-07;5.1380;0.5122;2.8350
2014-03-14-08;4.5287;0.5183;3.0103
2014-03-14-09;4.0271;0.5272;3.2015
2014-03-14-10;4.6937;0.5428;3.2473
2014-03-14-11;5.5010;0.5679;3.1474
2014-03-14-12;6.6743;0.6120;2.9832
2014-03-14-13;7.9148;0.6835;2.9045
2014-03-14-14;9.9508;0.8044;2.8927
2014-03-14-15;12.3997;0.9894;3.0030
2014-03-14-16;14.6625;1.2302;3.2512
2014-03-14-17;16.1695;1.5060;3.5806
2014-03-14-18;16.9394;1.7907;3.9452
2014-03-14-19;17.5290;2.0667;4.2979
2014-03-14-20;18.7065;2.3717;4.6076
2014-03-14-21;18.8034;2.6857;4.9949
2014-03-14-22;17.9940;2.9369;5.4366
2014-03-14-23;17.3005;3.0760;5.7658
2014-03-15-00;17.0724;3.1772;5.9820
2014-03-15-01;17.6241;3.3102;6.1070
2014-03-15-02;19.0947;3.5348;6.2357
2014-03-15-03;19.3574;3.7797;6.4076
2014-03-15-04;19.6563;3.9877;6.6020
2014-03-15-05;18.0555;4.0232;6.8645
2014-03-15-06;20.1805;4.1772;6.9287
2014-03-15-07;20.0772;4.3538;7.0210
2014-03-15-08;20.1405;4.4071;7.0771
2014-03-15-09;19.5529;4.3771;7.1143
2014-03-15-10;18.2970;4.2268;7.1301
2014-03-15-11;16.8321;3.9864;7.0994
2014-03-15-12;15.3608;3.6954;7.0060
2014-03-15-13;14.1133;3.4005;6.8796
2014-03-15-14;12.6160;3.1194;6.7660
2014-03-15-15;11.0340;2.8537;6.7053
2014-03-15-16;9.6528;2.6142;6.7030
2014-03-15-17;9.1017;2.4125;6.6568
2014-03-15-18;9.5535;2.2532;6.4336
2014-03-15-19;15.0452;2.2567;5.6419
2014-03-15-20;16.5692;2.5366;5.1438
2014-03-15-21;16.7139;2.7384;5.3383
2014-03-15-22;16.8033;2.8320;5.5421
2014-03-15-23;17.5304;2.9229;5.5978
2014-03-16-00;18.5146;3.0815;5.6979
2014-03-16-01;19.2206;3.3013;5.8256
2014-03-16-02;19.9401;3.5601;5.9873
2014-03-16-03;20.4119;3.8280;6.2515
2014-03-16-04;20.1562;4.0234;6.5079
2014-03-16-05;19.1667;4.0648;6.7066
2014-03-16-06;17.7979;3.9546;6.8600
2014-03-16-07;17.1661;3.8246;6.8898
2014-03-16-08;17.2870;3.7695;6.8403
2014-03-16-09;16.5671;3.7158;6.8459
2014-03-16-10;16.7921;3.6522;6.8001
2014-03-16-11;17.4916;3.6348;6.6955
2014-03-16-12;18.3939;3.6821;6.5897
2014-03-16-13;18.6548;3.7560;6.5614
2014-03-16-14;18.4917;3.8139;6.6095
2014-03-16-15;17.9797;3.8224;6.6869
2014-03-16-16;17.1725;3.7762;6.7665
2014-03-16-17;16.6021;3.7074;6.8163
2014-03-16-18;17.0405;3.6634;6.7741
2014-03-16-19;16.5880;3.5952;6.7203
2014-03-16-20;15.4633;3.4450;6.6835
2014-03-16-21;14.2799;3.2146;6.5922
2014-03-16-22;15.0663;3.0385;6.3487
2014-03-16-23;16.6781;3.0096;6.0135
2014-03-17-00;16.4561;3.0497;5.8968
2014-03-17-01;16.3068;3.0604;5.9656
2014-03-17-02;16.2404;3.0721;6.0156
2014-03-17-03;15.8172;3.0650;6.0618
2014-03-17-04;15.2740;3.0307;6.1028
2014-03-17-05;15.4527;3.0116;6.0987
2014-03-17-06;15.0941;2.9894;6.1047
2014-03-17-07;15.2197;2.9783;6.1064
2014-03-17-08;14.6056;2.9882;6.1752
2014-03-17-09;13.1041;2.9462;6.3201
2014-03-17-10;11.0737;2.8384;6.4984
2014-03-17-11;9.0539;2.7104;6.7940
2014-03-17-12;7.5564;2.6151;7.1108
2014-03-17-13;6.2548;2.5529;7.3561
2014-03-17-14;6.2700;2.5087;7.5029
2014-03-17-15;7.3521;2.4694;7.5277
2014-03-17-16;8.5525;2.4294;7.3438
2014-03-17-17;8.2487;2.3836;7.1640
2014-03-17-18;8.0321;2.3334;7.0953
2014-03-17-19;8.3302;2.2880;7.0070
2014-03-17-20;9.0803;2.2517;6.8197
2014-03-17-21;10.9066;2.2405;6.3720
2014-03-17-22;12.4530;2.2773;5.8340
2014-03-17-23;12.3014;2.3107;5.6085
2014-03-18-00;12.3649;2.3003;5.5536
2014-03-18-01;13.2025;2.2982;5.3966
2014-03-18-02;12.9586;2.2798;5.3209
2014-03-18-03;12.3516;2.2210;5.3341
2014-03-18-04;12.5409;2.1745;5.2783
2014-03-18-05;12.0126;2.1293;5.2668
2014-03-18-06;10.8051;2.0515;5.3400
2014-03-18-07;11.6307;1.9959;5.2238
2014-03-18-08;12.6879;1.9926;4.9379
2014-03-18-09;12.4452;1.9803;4.8767
2014-03-18-10;12.4732;1.9551;4.8402
2014-03-18-11;13.7724;1.9895;4.6906
2014-03-18-12;13.9659;2.0461;4.6877
2014-03-18-13;14.1639;2.0862;4.7659
2014-03-18-14;15.1640;2.1636;4.7851
2014-03-18-15;16.1384;2.2935;4.8305
2014-03-18-16;16.8183;2.4435;4.9380
2014-03-18-17;17.3892;2.5731;5.0468
2014-03-18-18;18.0248;2.7321;5.1435
2014-03-18-19;17.2095;2.8464;5.3904
2014-03-18-20;18.0273;3.0030;5.5549
2014-03-18-21;17.9268;3.1771;5.8075
2014-03-18-22;18.0817;3.3487;6.0276
2014-03-18-23;17.7850;3.4692;6.2638
2014-03-19-00;17.8289;3.5223;6.3780
2014-03-19-01;18.4952;3.5971;6.3936
2014-03-19-02;19.9596;3.7918;6.3911
2014-03-19-03;20.3647;3.9998;6.4794
2014-03-19-04;17.9336;3.9126;6.6345
2014-03-19-05;16.0917;3.6446;6.7225
2014-03-19-06;15.6517;3.4022;6.6422
2014-03-19-07;15.0052;3.1898;6.4948
2014-03-19-08;14.7607;3.0006;6.3195
2014-03-19-09;14.6934;2.8323;6.0723
2014-03-19-10;15.6122;2.7480;5.8148
2014-03-19-11;15.8485;2.7338;5.6324
2014-03-19-12;15.2873;2.6639;5.5564
2014-03-19-13;16.5294;2.6760;5.4074
2014-03-19-14;16.8667;2.7598;5.3915
2014-03-19-15;17.1443;2.8527;5.5086
2014-03-19-16;18.2238;3.0174;5.5821
2014-03-19-17;17.6675;3.1371;5.7382
2014-03-19-18;18.5887;3.2646;5.8386
2014-03-19-19;18.1154;3.2941;5.9219
2014-03-19-20;17.4961;3.1794;5.8534
2014-03-19-21;17.3085;3.0559;5.7390
2014-03-19-22;17.0831;2.9562;5.6429
2014-03-19-23;16.6579;2.8648;5.5835
2014-03-20-00;16.4032;2.7944;5.5027
2014-03-20-01;15.8553;2.7251;5.4753
2014-03-20-02;16.0510;2.6768;5.4136
2014-03-20-03;15.8673;2.6269;5.3594
2014-03-20-04;16.1024;2.5815;5.2798
2014-03-20-05;16.0082;2.5370;5.2133
2014-03-20-06;16.1457;2.4981;5.1164
2014-03-20-07;15.8590;2.4458;5.0578
2014-03-20-08;15.0528;2.3468;5.0357
2014-03-20-09;14.3517;2.2134;4.9798
2014-03-20-10;14.7975;2.1125;4.7868
2014-03-20-11;15.2232;2.0646;4.6096
2014-03-20-12;15.2417;2.0390;4.5477
2014-03-20-13;14.8817;2.0100;4.5577
2014-03-20-14;14.0348;1.9575;4.6026
2014-03-20-15;13.3554;1.8961;4.6327
2014-03-20-16;13.5159;1.8590;4.5726
2014-03-20-17;14.3202;1.8611;4.4420
2014-03-20-18;14.3813;1.8757;4.4066
2014-03-20-19;14.7777;1.8989;4.4303
2014-03-20-20;16.0177;1.9939;4.4129
2014-03-20-21;16.8457;2.1499;4.4929
2014-03-20-22;17.1694;2.3110;4.6800
2014-03-20-23;17.8207;2.4680;4.7997
2014-03-21-00;17.9721;2.5848;4.9355
2014-03-21-01;16.7716;2.6255;5.1902
2014-03-21-02;14.7804;2.4791;5.4179
2014-03-21-03;10.8680;2.1042;5.3770
2014-03-21-04;11.5429;1.8415;5.0614
2014-03-21-05;12.4362;1.7340;4.6919
2014-03-21-06;12.1839;1.6920;4.5546
2014-03-21-07;11.1319;1.6438;4.5841
2014-03-21-08;10.1714;1.5949;4.6653
2014-03-21-09;10.1305;1.5775;4.7185
2014-03-21-10;10.6303;1.6004;4.7285
2014-03-21-11;11.4938;1.6602;4.6999
2014-03-21-12;12.3224;1.7510;4.6858
2014-03-21-13;12.6235;1.8461;4.7477
2014-03-21-14;12.3473;1.9159;4.8758
2014-03-21-15;11.8354;1.9481;5.0110
