wind speed (m/s);significant wave height (m)
15.801251099013822;1.5344716492352066
16.09352090504209;1.6372867765518722
16.39714584643891;1.7480289374895825
16.7276521368157;1.8680201050693026
17.072567525292722;1.9980035780771792
17.424241232869065;2.1384521988310055
17.799802520931184;2.29141170969241
18.175631655397954;2.456237007694825
18.579185558303987;2.636405023123928
18.98626992780675;2.8309253449147627
19.40612672059582;3.0419882150158335
19.842205197160776;3.2715929044974152
20.2918828409421;3.5211269372159246
20.72608609721364;3.7873480461364224
21.198336245059135;4.081262399648989
21.679723011594962;4.400355028459313
22.13591999802672;4.739293741365394
22.590443944598398;5.104722406611566
23.022473498063125;5.493626273523218
23.451770134080423;5.913198834565347
23.887036376163596;6.369262886047684
24.300975053234794;6.8572405362745785
24.69229607338378;7.37979598731079
25.0420866053963;7.9335028165539025
25.331004240515743;8.513479417465714
25.472049666715655;9.084135175317133
25.25838541807633;9.54392716361447
24.566537954799603;9.803147153552297
23.297362548936686;9.760744726765056
21.73777128616751;9.511886723910955
20.174134694424524;9.189323174586246
18.714053022632907;8.853615592810945
17.410177562245;8.547042597269142
16.216942802492817;8.247564580066502
15.141473684308757;7.969797137676867
14.170541453720734;7.713583785904343
13.287276313316443;7.473417131398591
12.4789266356053;7.244877405351635
11.74157782693979;7.032666902807405
11.063393840943245;6.830312965391688
10.440351257650477;6.6409688134275235
9.863928670017357;6.458417498110207
9.331543805036816;6.287267122113557
8.835920521974222;6.115733826588327
8.377186792852754;5.958890240060548
7.94983262649217;5.805975806934682
7.55171099130497;5.656244414744656
7.180213723510669;5.513564456148016
6.832208811077299;5.378862208396625
6.50692821388218;5.246293329671646
6.2011382606639875;5.119950877707238
5.91435649549458;4.996603224665892
5.6441063405647744;4.877874924282824
5.389528887855238;4.7625727169323335
5.149464725069543;4.650426265787742
4.92188113290108;4.542175810117756
4.7081496929256454;4.435240005179904
4.504945887656198;4.331802799015744
4.311527335835363;4.231400160257598
4.127909415444077;4.133192698553684
3.952943282082191;4.0373216544699915
3.7846243476734074;3.9443746907820585
3.6238822721593773;3.8531802045797567
3.4696486208167245;3.763865925094054
3.3201299368055963;3.67684589532911
3.177516544067026;3.5906829482798037
3.041505959885467;3.5052967866858458
2.9082209335033173;3.421960004882873
2.781463648588478;3.3389129771512724
2.657467402712394;3.257289310337069
2.5371530568701277;3.1764896695809735
